Condition,Age Group,Dietary Preferences,Remedy Name,Ingredients,Recipe,Dosage,Cautions,Contraindications
Flu,Adults,Vegetarian,Fenugreek Seed Tea,"Fenugreek seeds, water","Boil fenugreek seeds in water, strain","1 cup, once daily",Mild digestive upset,Pregnancy
Flu,Adults,Vegetarian,Lemon Ginger Shot,"Lemon, fresh ginger","Blend ginger with lemon juice, strain","1 tbsp, twice daily",Stomach upset,"GERD, acid reflux"
Flu,Adults,Vegetarian,Cinnamon and Clove Drink,"Cinnamon, cloves, warm water","Boil cinnamon and cloves, strain","1 cup, once daily",Digestive upset,None
Flu,Adults,Vegetarian,Honey and Cinnamon Paste,"Honey, cinnamon powder","Mix honey with cinnamon, consume directly","1 tsp, twice daily",Throat irritation,Allergy to honey
Flu,Seniors,Vegetarian,Elderberry Syrup,"Elderberries, water, honey","Boil elderberries, strain, mix with honey","1 tbsp, twice daily",Diarrhea,Autoimmune conditions
Flu,Seniors,Vegetarian,Ginger and Lemon Drink,"Fresh ginger, lemon, warm water","Boil ginger in water, add lemon juice","1/2 cup, once daily",Stomach upset,"GERD, bleeding disorders"
Flu,Seniors,Vegetarian,Peppermint Tea,"Peppermint leaves, water","Steep peppermint leaves in hot water, strain","1/2 cup, twice daily",Mild digestive upset,"GERD, acid reflux"
Flu,Seniors,Vegetarian,Chamomile and Honey Drink,"Chamomile flowers, honey, water","Steep chamomile in warm water, add honey","1 cup, once daily",Drowsiness,Allergy to ragweed
Flu,Seniors,Vegetarian,Lemon Balm Tea,"Lemon balm leaves, water","Steep lemon balm leaves in hot water, strain","1/2 cup, once daily",Mild drowsiness,Hypothyroidism
Flu,Seniors,Vegetarian,Tulsi (Holy Basil) Tea,"Tulsi leaves, water",Boil tulsi leaves in water,"1/2 cup, once daily",None,None
Flu,Seniors,Vegetarian,Cinnamon and Honey Drink,"Cinnamon, honey, warm water",Mix cinnamon powder and honey in warm water,"1/4 cup, once daily",Mild stomach upset,None
Flu,Seniors,Vegetarian,Clove Tea,"Clove powder, hot water","Steep clove powder in hot water, strain","1/2 cup, once daily",Mild digestive upset,None
Flu,Seniors,Vegetarian,Warm Lemon Honey Water,"Lemon juice, honey, warm water",Mix lemon juice and honey in warm water,"1/2 cup, twice daily",Throat irritation,Allergy to honey
Flu,Seniors,Vegetarian,Fenugreek and Ginger Drink,"Fenugreek seeds, ginger, water","Boil fenugreek and ginger in water, strain","1/2 cup, once daily",Digestive upset,Pregnancy
Sore Throat,Children,Vegetarian,Honey Lemon Drink,"Honey, lemon, warm water",Mix honey and lemon in warm water,"1/2 cup, 2-3 times daily",Throat irritation,Allergy to honey
Sore Throat,Children,Vegetarian,Chamomile Tea,"Chamomile flowers, water","Steep chamomile flowers in hot water, strain","1/2 cup, once daily",Drowsiness,Allergy to ragweed
Sore Throat,Children,Vegetarian,Ginger Tea,"Fresh ginger, honey, water","Boil ginger in water, add honey","1/2 cup, twice daily",Stomach upset,"GERD, bleeding disorders"
Sore Throat,Children,Vegetarian,Slippery Elm Tea,"Slippery elm bark, water","Boil slippery elm bark in water, strain","1/2 cup, once daily",Mild digestive upset,Allergies to plants
Sore Throat,Children,Vegetarian,Marshmallow Root Tea,"Marshmallow root, water","Steep marshmallow root in hot water, strain","1/2 cup, once daily",Mild digestive upset,Allergies to plants
Sore Throat,Children,Vegetarian,Warm Saltwater Gargle,"Salt, warm water","Dissolve salt in warm water, gargle","1 tsp salt in 1/2 cup, twice daily",Mild throat irritation,None
Sore Throat,Children,Vegetarian,Basil Tea,"Fresh basil leaves, water","Steep basil leaves in hot water, strain","1/2 cup, once daily",None,None
Sore Throat,Children,Vegetarian,Cinnamon Drink,"Cinnamon, honey, warm water",Mix cinnamon and honey in warm water,"1/4 cup, twice daily",Mild digestive upset,None
Sore Throat,Children,Vegetarian,Lemon Balm Tea,"Lemon balm leaves, water","Steep lemon balm leaves in hot water, strain","1/2 cup, once daily",Mild drowsiness,Hypothyroidism
Sore Throat,Children,Vegetarian,Thyme Tea,"Fresh thyme leaves, water","Steep thyme in hot water, strain","1/2 cup, once daily",Mild digestive upset,Blood pressure issues
Sore Throat,Adults,Vegetarian,Honey Lemon Drink,"Honey, lemon, warm water",Mix honey and lemon in warm water,"1 cup, 2-3 times daily",Throat irritation,Allergy to honey
Sore Throat,Adults,Vegetarian,Licorice Root Tea,"Licorice root, water","Steep licorice root in hot water, strain","1 cup, once daily","High blood pressure, nausea",Not for individuals with high blood pressure
Sore Throat,Adults,Vegetarian,Chamomile Tea,"Chamomile flowers, water","Steep chamomile flowers in hot water, strain","1 cup, twice daily",Drowsiness,Allergy to ragweed
Sore Throat,Adults,Vegetarian,Marshmallow Root Tea,"Marshmallow root, water","Steep marshmallow root in hot water, strain","1 cup, once daily",Mild digestive upset,Allergies to plants
Sore Throat,Adults,Vegetarian,Sage Tea,"Sage leaves, water","Steep sage leaves in hot water, strain","1 cup, once daily",Throat irritation,Not for pregnant women
Sore Throat,Adults,Vegetarian,Saltwater Gargle,"Salt, warm water","Dissolve salt in warm water, gargle","1 tsp salt in 1 cup, twice daily",Mild throat irritation,None
Sore Throat,Adults,Vegetarian,Cayenne Pepper Drink,"Cayenne pepper, warm water, honey",Mix cayenne pepper with honey in warm water,"1/2 cup, once daily",Mild digestive upset,Stomach ulcers
Sore Throat,Adults,Vegetarian,Clove Tea,"Clove powder, hot water","Steep clove powder in hot water, strain","1 cup, once daily",Mild digestive upset,None
Sore Throat,Adults,Vegetarian,Fenugreek Seed Tea,"Fenugreek seeds, water","Boil fenugreek seeds in water, strain","1 cup, once daily",Mild digestive upset,Pregnancy
Sore Throat,Adults,Vegetarian,Apple Cider Vinegar Drink,"Apple cider vinegar, honey, water",Mix vinegar and honey in water,"1 tbsp vinegar in 1 cup, once daily",Stomach upset,Sensitive teeth
Sore Throat,Seniors,Vegetarian,Honey Lemon Drink,"Honey, lemon, warm water",Mix honey and lemon in warm water,"1/2 cup, 2-3 times daily",Throat irritation,Allergy to honey
Sore Throat,Seniors,Vegetarian,Chamomile Tea,"Chamomile flowers, water","Steep chamomile flowers in hot water, strain","1/2 cup, once daily",Drowsiness,Allergy to ragweed
Sore Throat,Seniors,Vegetarian,Licorice Root Tea,"Licorice root, water","Steep licorice root in hot water, strain","1/2 cup, once daily","High blood pressure, nausea",Not for individuals with high blood pressure
Sore Throat,Seniors,Vegetarian,Slippery Elm Tea,"Slippery elm bark, water","Boil slippery elm bark in water, strain","1/2 cup, once daily",Mild digestive upset,Allergies to plants
Sore Throat,Seniors,Vegetarian,Marshmallow Root Tea,"Marshmallow root, water","Steep marshmallow root in hot water, strain","1/2 cup, once daily",Mild digestive upset,Allergies to plants
Sore Throat,Seniors,Vegetarian,Saltwater Gargle,"Salt, warm water","Dissolve salt in warm water, gargle","1 tsp salt in 1/2 cup, twice daily",Mild throat irritation,None
Sore Throat,Seniors,Vegetarian,Basil Tea,"Fresh basil leaves, water","Steep basil leaves in hot water, strain","1/2 cup, once daily",None,None
Sore Throat,Seniors,Vegetarian,Cinnamon Honey Drink,"Cinnamon, honey, warm water",Mix cinnamon and honey in warm water,"1/2 cup, twice daily",Mild digestive upset,None
Sore Throat,Seniors,Vegetarian,Fennel Seed Tea,"Fennel seeds, water","Boil fennel seeds in water, strain","1/2 cup, once daily",Mild digestive upset,Allergies to plants
Sore Throat,Seniors,Vegetarian,Clove Tea,"Clove powder, hot water","Steep clove powder in hot water, strain","1/2 cup, once daily",Mild digestive upset,None
Tonsillitis,Children,Vegetarian,Honey and Lemon Drink,"Honey, lemon, warm water",Mix honey and lemon in warm water,"1/2 cup, 2-3 times daily",Throat irritation,Allergy to honey
Tonsillitis,Children,Vegetarian,Chamomile Tea,"Chamomile flowers, water","Steep chamomile flowers in hot water, strain","1/2 cup, once daily",Drowsiness,Allergy to ragweed
Tonsillitis,Children,Vegetarian,Ginger Tea,"Fresh ginger, honey, water","Boil ginger in water, add honey","1/2 cup, twice daily",Stomach upset,"GERD, bleeding disorders"
Tonsillitis,Children,Vegetarian,Licorice Root Tea,"Licorice root, water","Steep licorice root in hot water, strain","1/2 cup, once daily","High blood pressure, nausea",Not for high blood pressure
Tonsillitis,Children,Vegetarian,Slippery Elm Tea,"Slippery elm bark, water","Boil slippery elm bark in water, strain","1/2 cup, once daily",Mild digestive upset,Allergies to plants
Tonsillitis,Children,Vegetarian,Warm Saltwater Gargle,"Salt, warm water","Dissolve salt in warm water, gargle","1 tsp salt in 1/2 cup, twice daily",Mild throat irritation,None
Tonsillitis,Children,Vegetarian,Licorice and Marshmallow Root Tea,"Licorice root, marshmallow root, water",Steep licorice and marshmallow roots in hot water,"1/2 cup, once daily","High blood pressure, nausea, digestive upset",Not for high blood pressure
Tonsillitis,Children,Vegetarian,Lemon Balm Tea,"Lemon balm leaves, water","Steep lemon balm leaves in hot water, strain","1/2 cup, once daily",Mild drowsiness,Hypothyroidism
Tonsillitis,Children,Vegetarian,Fennel Seed Tea,"Fennel seeds, water","Boil fennel seeds in water, strain","1/2 cup, once daily",Mild digestive upset,Allergies to plants
Tonsillitis,Children,Vegetarian,Cinnamon Tea,"Cinnamon, water","Steep cinnamon in hot water, strain","1/2 cup, once daily",Mild digestive upset,None
Tonsillitis,Adults,Vegetarian,Honey and Lemon Drink,"Honey, lemon, warm water",Mix honey and lemon in warm water,"1 cup, 2-3 times daily",Throat irritation,Allergy to honey
Tonsillitis,Adults,Vegetarian,Echinacea Tea,"Echinacea root, water","Steep echinacea root in hot water, strain","1 cup, once daily",Mild digestive upset,Autoimmune conditions
Tonsillitis,Adults,Vegetarian,Licorice Root Tea,"Licorice root, water","Steep licorice root in hot water, strain","1 cup, once daily","High blood pressure, nausea",Not for high blood pressure
Tonsillitis,Adults,Vegetarian,Sage Tea,"Sage leaves, water","Steep sage leaves in hot water, strain","1 cup, once daily",Throat irritation,Not for pregnant women
Tonsillitis,Adults,Vegetarian,Marshmallow Root Tea,"Marshmallow root, water","Steep marshmallow root in hot water, strain","1 cup, once daily",Mild digestive upset,Allergies to plants
Tonsillitis,Adults,Vegetarian,Saltwater Gargle,"Salt, warm water","Dissolve salt in warm water, gargle","1 tsp salt in 1 cup, twice daily",Mild throat irritation,None
Tonsillitis,Adults,Vegetarian,Cayenne Pepper Drink,"Cayenne pepper, warm water, honey",Mix cayenne pepper with honey in warm water,"1/2 cup, once daily",Mild digestive upset,Stomach ulcers
Tonsillitis,Adults,Vegetarian,Clove Tea,"Clove powder, hot water","Steep clove powder in hot water, strain","1 cup, once daily",Mild digestive upset,None
Tonsillitis,Adults,Vegetarian,Apple Cider Vinegar Drink,"Apple cider vinegar, honey, water",Mix vinegar and honey in water,"1 tbsp vinegar in 1 cup, once daily",Stomach upset,Sensitive teeth
Tonsillitis,Seniors,Vegetarian,Honey and Lemon Drink,"Honey, lemon, warm water",Mix honey and lemon in warm water,"1/2 cup, 2-3 times daily",Throat irritation,Allergy to honey
Tonsillitis,Seniors,Vegetarian,Licorice Root Tea,"Licorice root, water","Steep licorice root in hot water, strain","1/2 cup, once daily","High blood pressure, nausea",Not for high blood pressure
Tonsillitis,Seniors,Vegetarian,Chamomile Tea,"Chamomile flowers, water","Steep chamomile flowers in hot water, strain","1/2 cup, once daily",Drowsiness,Allergy to ragweed
Tonsillitis,Seniors,Vegetarian,Slippery Elm Tea,"Slippery elm bark, water","Boil slippery elm bark in water, strain","1/2 cup, once daily",Mild digestive upset,Allergies to plants
Tonsillitis,Seniors,Vegetarian,Marshmallow Root Tea,"Marshmallow root, water","Steep marshmallow root in hot water, strain","1/2 cup, once daily",Mild digestive upset,Allergies to plants
Tonsillitis,Seniors,Vegetarian,Saltwater Gargle,"Salt, warm water","Dissolve salt in warm water, gargle","1 tsp salt in 1/2 cup, twice daily",Mild throat irritation,None
Tonsillitis,Seniors,Vegetarian,Basil Tea,"Fresh basil leaves, water","Steep basil leaves in hot water, strain","1/2 cup, once daily",None,None
Tonsillitis,Seniors,Vegetarian,Cinnamon Honey Drink,"Cinnamon, honey, warm water",Mix cinnamon and honey in warm water,"1/2 cup, twice daily",Mild digestive upset,None
Tonsillitis,Seniors,Vegetarian,Fennel Seed Tea,"Fennel seeds, water","Boil fennel seeds in water, strain","1/2 cup, once daily",Mild digestive upset,Allergies to plants
Congestion,Children,Vegetarian,Eucalyptus Steam Inhalation,"Eucalyptus oil, hot water",Add a few drops of eucalyptus oil to hot water and inhale steam,"5-10 minutes, 2-3 times daily",Skin irritation,Avoid in children under 2 years
Congestion,Children,Vegetarian,Ginger Tea,"Fresh ginger, honey, water","Boil ginger in water, add honey","1/2 cup, twice daily",Stomach upset,"GERD, bleeding disorders"
Congestion,Children,Vegetarian,Peppermint Tea,"Fresh peppermint leaves, water","Steep peppermint leaves in hot water, strain","1/2 cup, once daily",Stomach cramps,"GERD, acid reflux"
Congestion,Children,Vegetarian,Honey Lemon Drink,"Honey, lemon, warm water",Mix honey and lemon in warm water,"1/2 cup, 2-3 times daily",Throat irritation,Allergy to honey
Congestion,Children,Vegetarian,Chamomile Tea,"Chamomile flowers, water","Steep chamomile flowers in hot water, strain","1/2 cup, once daily",Drowsiness,Allergy to ragweed
Congestion,Children,Vegetarian,Warm Saltwater Gargle,"Salt, warm water","Dissolve salt in warm water, gargle","1 tsp salt in 1/2 cup, twice daily",Mild throat irritation,None
Congestion,Children,Vegetarian,Lemon Balm Tea,"Lemon balm leaves, water","Steep lemon balm leaves in hot water, strain","1/2 cup, once daily",Mild drowsiness,Hypothyroidism
Congestion,Children,Vegetarian,Turmeric Milk,"Turmeric powder, milk",Mix turmeric in warm milk,"1/2 cup, once daily",Stomach upset,Liver disease
Congestion,Children,Vegetarian,Fennel Seed Tea,"Fennel seeds, water","Boil fennel seeds in water, strain","1/2 cup, once daily",Mild digestive upset,Allergies to plants
Congestion,Children,Vegetarian,Cinnamon Tea,"Cinnamon, water","Steep cinnamon in hot water, strain","1/2 cup, once daily",Mild digestive upset,None
Congestion,Adults,Vegetarian,Eucalyptus Steam Inhalation,"Eucalyptus oil, hot water",Add a few drops of eucalyptus oil to hot water and inhale steam,"10-15 minutes, 2-3 times daily",Skin irritation,Avoid in children under 2 years
Congestion,Adults,Vegetarian,Ginger Tea,"Fresh ginger, honey, water","Boil ginger in water, add honey","1 cup, twice daily",Stomach upset,"GERD, bleeding disorders"
Congestion,Adults,Vegetarian,Peppermint Tea,"Fresh peppermint leaves, water","Steep peppermint leaves in hot water, strain","1 cup, once daily",Stomach cramps,"GERD, acid reflux"
Congestion,Adults,Vegetarian,Turmeric Milk,"Turmeric powder, warm milk",Mix turmeric in warm milk,"1/2 cup, once daily",Digestive upset,Liver disease
Congestion,Adults,Vegetarian,Echinacea Tea,"Echinacea root, water","Steep echinacea root in hot water, strain","1 cup, once daily",Mild digestive upset,Autoimmune conditions
Congestion,Adults,Vegetarian,Saltwater Gargle,"Salt, warm water","Dissolve salt in warm water, gargle","1 tsp salt in 1 cup, twice daily",Mild throat irritation,None
Congestion,Adults,Vegetarian,Lemon Balm Tea,"Lemon balm leaves, water","Steep lemon balm leaves in hot water, strain","1/2 cup, once daily",Drowsiness,Hypothyroidism
Congestion,Adults,Vegetarian,Clove Tea,"Clove powder, hot water","Steep clove powder in hot water, strain","1 cup, once daily",Mild digestive upset,None
Congestion,Adults,Vegetarian,Cayenne Pepper Drink,"Cayenne pepper, warm water, honey",Mix cayenne pepper with honey in warm water,"1/2 cup, once daily",Stomach upset,Stomach ulcers
Congestion,Seniors,Vegetarian,Eucalyptus Steam Inhalation,"Eucalyptus oil, hot water",Add a few drops of eucalyptus oil to hot water and inhale steam,"10 minutes, 2-3 times daily",Skin irritation,Avoid in children under 2 years
Congestion,Seniors,Vegetarian,Ginger Tea,"Fresh ginger, honey, water","Boil ginger in water, add honey","1/2 cup, twice daily",Stomach upset,"GERD, bleeding disorders"
Congestion,Seniors,Vegetarian,Chamomile Tea,"Chamomile flowers, water","Steep chamomile flowers in hot water, strain","1/2 cup, once daily",Drowsiness,Allergy to ragweed
Congestion,Seniors,Vegetarian,Lemon Balm Tea,"Lemon balm leaves, water","Steep lemon balm leaves in hot water, strain","1/2 cup, once daily",Drowsiness,Hypothyroidism
